#separator:|
#html:true
identique ≠ différent|<b>Meaning</b>: identical ≠ different<br><b>Phrase: </b><i>Ces deux choses sont identiques. / Ces deux choses sont différentes.</i>|dossier-0 caractériser dossier-0-leçon-1
les deux points (m.)|<b>Meaning</b>: a colon (:)<br><b>Phrase: </b><i>Utilisez les deux points.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
un arobase|<b>Meaning</b>: an at symbol (@)<br><b>Phrase: </b><i>Mon adresse mail contient un arobase.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
un point|<b>Meaning</b>: a period (.)<br><b>Phrase: </b><i>Fin de la phrase.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
un point d'exclamation|<b>Meaning</b>: an exclamation point (!)<br><b>Phrase: </b><i>Quelle surprise!</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
un point d'interrogation|<b>Meaning</b>: a question mark (?)<br><b>Phrase: </b><i>Quelle heure est-il?</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
un point-virgule|<b>Meaning</b>: a semicolon (;)<br><b>Phrase: </b><i>Utilisez un point-virgule.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
un slash|<b>Meaning</b>: a slash (/)<br><b>Phrase: </b><i>Utilisez un slash.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
un tiret|<b>Meaning</b>: a dash (-)<br><b>Phrase: </b><i>C'est un tiret.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
un tiret bas|<b>Meaning</b>: an underscore (_)<br><b>Phrase: </b><i>Utilisez un tiret bas.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
une parenthèse|<b>Meaning</b>: a parenthesis ( )<br><b>Phrase: </b><i>Mettez cela entre parenthèses.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
une virgule|<b>Meaning</b>: a comma (,)<br><b>Phrase: </b><i>Utilisez une virgule.</i>|dossier-1 signes-et-ponctuation dossier-1-leçon-2
visiter (un musée)|<b>Meaning</b>: to visit (a museum)<br><b>Phrase: </b><i>Je visite un musée.</i>|dossier-1 les-actions dossier-1-leçon-3
vivre (dans une ville/un pays)|<b>Meaning</b>: to live (in a city/a country)<br><b>Phrase: </b><i>Je vis à Paris. / Je vis en France.</i>|dossier-1 les-actions dossier-1-leçon-3
voir (le feu d'artifice)|<b>Meaning</b>: to see (the fireworks)<br><b>Phrase: </b><i>Je vais voir le feu d'artifice.</i>|dossier-1 les-actions dossier-1-leçon-3
adorer (le cyclisme; la musique...)|<b>Meaning</b>: to love (cycling; music...)<br><b>Phrase: </b><i>J'adore le cyclisme. / J'adore la musique.</i>|dossier-1 les-passions-et-les-rêves dossier-1-leçon-3
réaliser un rêve|<b>Meaning</b>: to realize a dream<br><b>Phrase: </b><i>Je veux réaliser un rêve.</i>|dossier-1 les-passions-et-les-rêves dossier-1-leçon-3
rêver de (voir; aller...)|<b>Meaning</b>: to dream of (seeing; going...)<br><b>Phrase: </b><i>Je rêve de voir le monde. / Je rêve d'aller en Italie.</i>|dossier-1 les-passions-et-les-rêves dossier-1-leçon-3
gagner|<b>Meaning</b>: to win<br><b>Phrase: </b><i>Je veux gagner le prix.</i>|dossier-1 participer-à-un-concours dossier-1-leçon-3
un bulletin de participation|<b>Meaning</b>: an entry form<br><b>Phrase: </b><i>Remplissez le bulletin de participation.</i>|dossier-1 participer-à-un-concours dossier-1-leçon-3
un jeu-concours|<b>Meaning</b>: a contest<br><b>Phrase: </b><i>Je participe à un jeu-concours.</i>|dossier-1 participer-à-un-concours dossier-1-leçon-3
un tirage au sort|<b>Meaning</b>: a draw<br><b>Phrase: </b><i>Le gagnant sera choisi par tirage au sort.</i>|dossier-1 participer-à-un-concours dossier-1-leçon-3
une annonce|<b>Meaning</b>: an announcement<br><b>Phrase: </b><i>J'ai vu une annonce.</i>|dossier-1 participer-à-un-concours dossier-1-leçon-3
un hôpital|<b>Meaning</b>: a hospital<br><b>Phrase: </b><i>Il travaille à l'hôpital.</i>|dossier-2 autres dossier-2-leçon-1
un pont|<b>Meaning</b>: a bridge<br><b>Phrase: </b><i>Je traverse le pont.</i>|dossier-2 autres dossier-2-leçon-1
une cathédrale|<b>Meaning</b>: a cathedral<br><b>Phrase: </b><i>C'est une belle cathédrale.</i>|dossier-2 autres dossier-2-leçon-1
une église|<b>Meaning</b>: a church<br><b>Phrase: </b><i>Je vais à l'église.</i>|dossier-2 autres dossier-2-leçon-1
une école|<b>Meaning</b>: a school<br><b>Phrase: </b><i>Je vais à l'école.</i>|dossier-2 l'éducation-(f.) dossier-2-leçon-1
une université|<b>Meaning</b>: a university<br><b>Phrase: </b><i>J'étudie à l'université.</i>|dossier-2 l'éducation-(f.) dossier-2-leçon-1
un château|<b>Meaning</b>: a castle<br><b>Phrase: </b><i>C'est un beau château.</i>|dossier-2 la-culture,-l'art-(m.)-et-l'histoire-(f.) dossier-2-leçon-1
un cinéma|<b>Meaning</b>: a cinema<br><b>Phrase: </b><i>Allons au cinéma.</i>|dossier-2 la-culture,-l'art-(m.)-et-l'histoire-(f.) dossier-2-leçon-1
un musée|<b>Meaning</b>: a museum<br><b>Phrase: </b><i>Je visite un musée.</i>|dossier-2 la-culture,-l'art-(m.)-et-l'histoire-(f.) dossier-2-leçon-1
un théâtre|<b>Meaning</b>: a theater<br><b>Phrase: </b><i>J'aime aller au théâtre.</i>|dossier-2 la-culture,-l'art-(m.)-et-l'histoire-(f.) dossier-2-leçon-1
une bibliothèque|<b>Meaning</b>: a library<br><b>Phrase: </b><i>J'aime la bibliothèque.</i>|dossier-2 la-culture,-l'art-(m.)-et-l'histoire-(f.) dossier-2-leçon-1
un jardin|<b>Meaning</b>: a garden<br><b>Phrase: </b><i>J'aime me promener dans le jardin.</i>|dossier-2 la-nature dossier-2-leçon-1
un parc|<b>Meaning</b>: a park<br><b>Phrase: </b><i>Le parc est grand.</i>|dossier-2 la-nature dossier-2-leçon-1
une rivière|<b>Meaning</b>: a river<br><b>Phrase: </b><i>La rivière coule.</i>|dossier-2 la-nature dossier-2-leçon-1
l'hôtel de ville (m.) = la mairie|<b>Meaning</b>: the city hall<br><b>Phrase: </b><i>L'hôtel de ville est beau. / La mairie est ouverte.</i>|dossier-2 les-administrations-(f.) dossier-2-leçon-1
la poste|<b>Meaning</b>: the post office<br><b>Phrase: </b><i>Je vais à la poste.</i>|dossier-2 les-administrations-(f.) dossier-2-leçon-1
un marché|<b>Meaning</b>: a market<br><b>Phrase: </b><i>Je vais au marché.</i>|dossier-2 les-commerces-(m.)-et-la-vie-quotidienne dossier-2-leçon-1
un restaurant|<b>Meaning</b>: a restaurant<br><b>Phrase: </b><i>On mange au restaurant.</i>|dossier-2 les-commerces-(m.)-et-la-vie-quotidienne dossier-2-leçon-1
un supermarché|<b>Meaning</b>: a supermarket<br><b>Phrase: </b><i>Je fais les courses au supermarché.</i>|dossier-2 les-commerces-(m.)-et-la-vie-quotidienne dossier-2-leçon-1
une boulangerie|<b>Meaning</b>: a bakery<br><b>Phrase: </b><i>J'achète du pain à la boulangerie.</i>|dossier-2 les-commerces-(m.)-et-la-vie-quotidienne dossier-2-leçon-1
une pharmacie|<b>Meaning</b>: a pharmacy<br><b>Phrase: </b><i>J'achète des médicaments à la pharmacie.</i>|dossier-2 les-commerces-(m.)-et-la-vie-quotidienne dossier-2-leçon-1
un dépliant|<b>Meaning</b>: a leaflet/brochure<br><b>Phrase: </b><i>Voici un dépliant touristique.</i>|dossier-2 les-écrits-et-images dossier-2-leçon-1
un forum Internet|<b>Meaning</b>: an internet forum<br><b>Phrase: </b><i>Je participe à un forum Internet.</i>|dossier-2 les-écrits-et-images dossier-2-leçon-1
un magazine|<b>Meaning</b>: a magazine<br><b>Phrase: </b><i>J'aime lire des magazines.</i>|dossier-2 les-écrits-et-images dossier-2-leçon-1
une affiche|<b>Meaning</b>: a poster<br><b>Phrase: </b><i>Il y a une affiche sur le mur.</i>|dossier-2 les-écrits-et-images dossier-2-leçon-1
un département|<b>Meaning</b>: a department (administrative region in France)<br><b>Phrase: </b><i>Quel département?</i>|dossier-2 les-lieux dossier-2-leçon-1
un lieu = un endroit|<b>Meaning</b>: a place<br><b>Phrase: </b><i>C'est un beau lieu. / C'est un bel endroit.</i>|dossier-2 les-lieux dossier-2-leçon-1
une banlieue|<b>Meaning</b>: a suburb<br><b>Phrase: </b><i>J'habite en banlieue.</i>|dossier-2 les-lieux dossier-2-leçon-1
une région|<b>Meaning</b>: a region<br><b>Phrase: </b><i>La France a plusieurs régions.</i>|dossier-2 les-lieux dossier-2-leçon-1
une rue|<b>Meaning</b>: a street<br><b>Phrase: </b><i>J'habite dans cette rue.</i>|dossier-2 les-lieux dossier-2-leçon-1
une ville|<b>Meaning</b>: a city<br><b>Phrase: </b><i>Paris est une grande ville.</i>|dossier-2 les-lieux dossier-2-leçon-1
à côté de|<b>Meaning</b>: next to<br><b>Phrase: </b><i>La banque est à côté de la poste.</i>|dossier-2 localiser dossier-2-leçon-1
à droite de|<b>Meaning</b>: to the right of<br><b>Phrase: </b><i>Le restaurant est à droite du musée.</i>|dossier-2 localiser dossier-2-leçon-1
à gauche de|<b>Meaning</b>: to the left of<br><b>Phrase: </b><i>Le cinéma est à gauche de l'école.</i>|dossier-2 localiser dossier-2-leçon-1
dans|<b>Meaning</b>: in<br><b>Phrase: </b><i>Le livre est dans le sac.</i>|dossier-2 localiser dossier-2-leçon-1
derrière|<b>Meaning</b>: behind<br><b>Phrase: </b><i>Le jardin est derrière la maison.</i>|dossier-2 localiser dossier-2-leçon-1
devant|<b>Meaning</b>: in front of<br><b>Phrase: </b><i>La voiture est devant la maison.</i>|dossier-2 localiser dossier-2-leçon-1
en face de|<b>Meaning</b>: opposite<br><b>Phrase: </b><i>La pharmacie est en face du supermarché.</i>|dossier-2 localiser dossier-2-leçon-1
ici|<b>Meaning</b>: here<br><b>Phrase: </b><i>C'est ici.</i>|dossier-2 localiser dossier-2-leçon-1
loin de|<b>Meaning</b>: far from<br><b>Phrase: </b><i>La plage est loin de la ville.</i>|dossier-2 localiser dossier-2-leçon-1
près de|<b>Meaning</b>: near<br><b>Phrase: </b><i>La gare est près de l'hôtel.</i>|dossier-2 localiser dossier-2-leçon-1
sous|<b>Meaning</b>: under<br><b>Phrase: </b><i>Le chat est sous la chaise.</i>|dossier-2 localiser dossier-2-leçon-1
sur|<b>Meaning</b>: on<br><b>Phrase: </b><i>Le livre est sur la table.</i>|dossier-2 localiser dossier-2-leçon-1
aller/continuer tout droit|<b>Meaning</b>: to go/continue straight ahead<br><b>Phrase: </b><i>Allez tout droit. / Continuez tout droit.</i>|dossier-2 demander/indiquer-un-itinéraire dossier-2-leçon-2
aller/tourner à gauche, à droite|<b>Meaning</b>: to go/turn left, right<br><b>Phrase: </b><i>Tournez à gauche. / Tournez à droite.</i>|dossier-2 demander/indiquer-un-itinéraire dossier-2-leçon-2
chercher|<b>Meaning</b>: to look for<br><b>Phrase: </b><i>Je cherche la rue...</i>|dossier-2 demander/indiquer-un-itinéraire dossier-2-leçon-2
prendre (la rue...)|<b>Meaning</b>: to take (the street...)<br><b>Phrase: </b><i>Prenez la rue...</i>|dossier-2 demander/indiquer-un-itinéraire dossier-2-leçon-2
se trouver|<b>Meaning</b>: to be located<br><b>Phrase: </b><i>Où se trouve la gare?</i>|dossier-2 demander/indiquer-un-itinéraire dossier-2-leçon-2
traverser/descendre une rue|<b>Meaning</b>: to cross/go down a street<br><b>Phrase: </b><i>Traversez la rue. / Descendez la rue.</i>|dossier-2 demander/indiquer-un-itinéraire dossier-2-leçon-2
le petit déjeuner (inclus)|<b>Meaning</b>: breakfast (included)<br><b>Phrase: </b><i>Le petit déjeuner est inclus.</i>|dossier-2 faire-une-réservation dossier-2-leçon-2
le prix = le tarif|<b>Meaning</b>: the price = the rate<br><b>Phrase: </b><i>Quel est le prix? / Quel est le tarif?</i>|dossier-2 faire-une-réservation dossier-2-leçon-2
les horaires d'ouverture (m.)|<b>Meaning</b>: the opening hours<br><b>Phrase: </b><i>Quels sont les horaires d'ouverture?</i>|dossier-2 faire-une-réservation dossier-2-leçon-2
des toilettes (f.)|<b>Meaning</b>: a toilet/restroom<br><b>Phrase: </b><i>Où sont les toilettes?</i>|dossier-2 l'hébergement dossier-2-leçon-2
un drap|<b>Meaning</b>: a sheet<br><b>Phrase: </b><i>Change les draps, s'il te plaît.</i>|dossier-2 l'hébergement dossier-2-leçon-2
un hôtel (2, 3... étoiles)|<b>Meaning</b>: a hotel (2, 3... stars)<br><b>Phrase: </b><i>C'est un hôtel 3 étoiles.</i>|dossier-2 l'hébergement dossier-2-leçon-2
un lavabo|<b>Meaning</b>: a sink<br><b>Phrase: </b><i>Je me lave les mains au lavabo.</i>|dossier-2 l'hébergement dossier-2-leçon-2
un lit|<b>Meaning</b>: a bed<br><b>Phrase: </b><i>Je vais au lit.</i>|dossier-2 l'hébergement dossier-2-leçon-2
une auberge de jeunesse|<b>Meaning</b>: a youth hostel<br><b>Phrase: </b><i>Je loge dans une auberge de jeunesse.</i>|dossier-2 l'hébergement dossier-2-leçon-2
une chambre (simple/double)|<b>Meaning</b>: a room (single/double)<br><b>Phrase: </b><i>Je veux une chambre double. / Je veux une chambre simple.</i>|dossier-2 l'hébergement dossier-2-leçon-2
une cuisine|<b>Meaning</b>: a kitchen<br><b>Phrase: </b><i>Je prépare le repas dans la cuisine.</i>|dossier-2 l'hébergement dossier-2-leçon-2
une douche|<b>Meaning</b>: a shower<br><b>Phrase: </b><i>Je prends une douche.</i>|dossier-2 l'hébergement dossier-2-leçon-2
une salle de bains|<b>Meaning</b>: a bathroom<br><b>Phrase: </b><i>La chambre a une salle de bains.</i>|dossier-2 l'hébergement dossier-2-leçon-2
aller à pied|<b>Meaning</b>: to go on foot/to walk<br><b>Phrase: </b><i>Je vais à pied.</i>|dossier-2 se-déplacer dossier-2-leçon-2
prendre le train|<b>Meaning</b>: to take the train<br><b>Phrase: </b><i>Je prends le train.</i>|dossier-2 se-déplacer dossier-2-leçon-2
content(e)|<b>Meaning</b>: happy<br><b>Phrase: </b><i>Je suis content. / Je suis contente.</i>|dossier-2 caractériser dossier-2-leçon-3
extraordinaire|<b>Meaning</b>: extraordinary<br><b>Phrase: </b><i>C'est extraordinaire.</i>|dossier-2 caractériser dossier-2-leçon-3
génial(e)|<b>Meaning</b>: great/awesome<br><b>Phrase: </b><i>C'est génial!</i>|dossier-2 caractériser dossier-2-leçon-3
magnifique|<b>Meaning</b>: magnificent<br><b>Phrase: </b><i>C'est magnifique.</i>|dossier-2 caractériser dossier-2-leçon-3
merveilleux(euse)|<b>Meaning</b>: wonderful<br><b>Phrase: </b><i>C'est merveilleux. / C'est merveilleuse.</i>|dossier-2 caractériser dossier-2-leçon-3
moderne|<b>Meaning</b>: modern<br><b>Phrase: </b><i>C'est moderne.</i>|dossier-2 caractériser dossier-2-leçon-3
super|<b>Meaning</b>: super<br><b>Phrase: </b><i>C'est super!</i>|dossier-2 caractériser dossier-2-leçon-3
triste|<b>Meaning</b>: sad<br><b>Phrase: </b><i>Je suis triste.</i>|dossier-2 caractériser dossier-2-leçon-3
un code postal|<b>Meaning</b>: a postal code/zip code<br><b>Phrase: </b><i>Quel est le code postal?</i>|dossier-2 la-correspondance dossier-2-leçon-3
un timbre|<b>Meaning</b>: a stamp<br><b>Phrase: </b><i>Il faut un timbre.</i>|dossier-2 la-correspondance dossier-2-leçon-3
un(e) destinataire|<b>Meaning</b>: a recipient<br><b>Phrase: </b><i>C'est le destinataire de la lettre.</i>|dossier-2 la-correspondance dossier-2-leçon-3
un(e) expéditeur(trice)|<b>Meaning</b>: a sender<br><b>Phrase: </b><i>C'est l'expéditeur de la lettre.</i>|dossier-2 la-correspondance dossier-2-leçon-3
un(e) facteur(trice)|<b>Meaning</b>: a mail carrier/mailman/mailwoman<br><b>Phrase: </b><i>Le facteur apporte le courrier.</i>|dossier-2 la-correspondance dossier-2-leçon-3
une carte postale|<b>Meaning</b>: a postcard<br><b>Phrase: </b><i>J'envoie une carte postale.</i>|dossier-2 la-correspondance dossier-2-leçon-3
une lettre|<b>Meaning</b>: a letter<br><b>Phrase: </b><i>J'écris une lettre.</i>|dossier-2 la-correspondance dossier-2-leçon-3
faire beau|<b>Meaning</b>: to be nice (weather)<br><b>Phrase: </b><i>Il fait beau.</i>|dossier-2 la-météo dossier-2-leçon-3
faire chaud|<b>Meaning</b>: to be hot<br><b>Phrase: </b><i>Il fait chaud.</i>|dossier-2 la-météo dossier-2-leçon-3
froid|<b>Meaning</b>: cold<br><b>Phrase: </b><i>Il fait froid.</i>|dossier-2 la-météo dossier-2-leçon-3
la météo = le temps|<b>Meaning</b>: the weather<br><b>Phrase: </b><i>Quelle est la météo? / Quel temps fait-il?</i>|dossier-2 la-météo dossier-2-leçon-3
mauvais|<b>Meaning</b>: bad (weather)<br><b>Phrase: </b><i>Il fait mauvais.</i>|dossier-2 la-météo dossier-2-leçon-3
la montagne|<b>Meaning</b>: the mountain<br><b>Phrase: </b><i>J'aime la montagne.</i>|dossier-2 les-lieux dossier-2-leçon-3
la plage|<b>Meaning</b>: the beach<br><b>Phrase: </b><i>Je vais à la plage.</i>|dossier-2 les-lieux dossier-2-leçon-3
aujourd'hui|<b>Meaning</b>: today<br><b>Phrase: </b><i>C'est aujourd'hui.</i>|dossier-2 les-moments dossier-2-leçon-3
demain|<b>Meaning</b>: tomorrow<br><b>Phrase: </b><i>Je serai là demain.</i>|dossier-2 les-moments dossier-2-leçon-3
hier|<b>Meaning</b>: yesterday<br><b>Phrase: </b><i>J'étais là hier.</i>|dossier-2 les-moments dossier-2-leçon-3
faire du shopping|<b>Meaning</b>: to go shopping<br><b>Phrase: </b><i>J'aime faire du shopping.</i>|dossier-2 les-vacances-et-loisirs dossier-2-leçon-3
passer ses vacances|<b>Meaning</b>: to spend one's holidays<br><b>Phrase: </b><i>Je passe mes vacances à la mer.</i>|dossier-2 les-vacances-et-loisirs dossier-2-leçon-3
se baigner|<b>Meaning</b>: to swim<br><b>Phrase: </b><i>On peut se baigner.</i>|dossier-2 les-vacances-et-loisirs dossier-2-leçon-3
aller à (la destination)|<b>Meaning</b>: to go to (the destination)<br><b>Phrase: </b><i>Je vais à Paris.</i>|dossier-2 se-déplacer dossier-2-leçon-3
marcher|<b>Meaning</b>: to walk<br><b>Phrase: </b><i>J'aime marcher.</i>|dossier-2 se-déplacer dossier-2-leçon-3
rentrer de (la provenance)|<b>Meaning</b>: to return from (the origin)<br><b>Phrase: </b><i>Je rentre de vacances.</i>|dossier-2 se-déplacer dossier-2-leçon-3
se promener|<b>Meaning</b>: to take a walk<br><b>Phrase: </b><i>J'aime me promener dans le parc.</i>|dossier-2 se-déplacer dossier-2-leçon-3
venir de|<b>Meaning</b>: to come from<br><b>Phrase: </b><i>Je viens de France.</i>|dossier-2 se-déplacer dossier-2-leçon-3
indépendant(e)|<b>Meaning</b>: independent<br><b>Phrase: </b><i>Je suis indépendant. / Je suis indépendante.</i>|dossier-3 caractériser dossier-3-leçon-1
sociable|<b>Meaning</b>: sociable<br><b>Phrase: </b><i>Je suis sociable.</i>|dossier-3 caractériser dossier-3-leçon-1
sportif(ive)|<b>Meaning</b>: athletic<br><b>Phrase: </b><i>Je suis sportif. / Je suis sportive.</i>|dossier-3 caractériser dossier-3-leçon-1
un témoignage|<b>Meaning</b>: a testimony<br><b>Phrase: </b><i>Voici un témoignage.</i>|dossier-3 les-écrits dossier-3-leçon-1
adorer ≠ détester|<b>Meaning</b>: to love ≠ to hate<br><b>Phrase: </b><i>J'adore le chocolat. / Je déteste les épinards.</i>|dossier-3 les-goûts dossier-3-leçon-1
aimer (bien/beaucoup)|<b>Meaning</b>: to like (well/a lot)<br><b>Phrase: </b><i>J'aime bien le café. / J'aime beaucoup le thé.</i>|dossier-3 les-goûts dossier-3-leçon-1
l'étranger (m.)|<b>Meaning</b>: abroad<br><b>Phrase: </b><i>Je voyage à l'étranger.</i>|dossier-3 les-lieux dossier-3-leçon-1
la campagne|<b>Meaning</b>: the countryside<br><b>Phrase: </b><i>J'aime la campagne.</i>|dossier-3 les-lieux dossier-3-leçon-1
la mer|<b>Meaning</b>: the sea<br><b>Phrase: </b><i>J'aime la mer.</i>|dossier-3 les-lieux dossier-3-leçon-1
un bar|<b>Meaning</b>: a bar<br><b>Phrase: </b><i>On va au bar.</i>|dossier-3 les-lieux dossier-3-leçon-1
un restaurant|<b>Meaning</b>: a restaurant<br><b>Phrase: </b><i>On mange au restaurant.</i>|dossier-3 les-lieux dossier-3-leçon-1
l'art et la culture|{'chanter': "<b>Meaning</b>: to sing<br><b>Phrase: </b><i>J'aime chanter.</i>", "faire de l'aquarelle": "<b>Meaning</b>: to do watercolor painting<br><b>Phrase: </b><i>Elle fait de l'aquarelle.</i>", 'faire de la musique': '<b>Meaning</b>: to play music<br><b>Phrase: </b><i>Je fais de la musique.</i>', 'faire de la photo': "<b>Meaning</b>: to take photos<br><b>Phrase: </b><i>J'aime faire de la photo.</i>", 'jouer de la guitare': '<b>Meaning</b>: to play the guitar<br><b>Phrase: </b><i>Il joue de la guitare.</i>', 'lire': "<b>Meaning</b>: to read<br><b>Phrase: </b><i>J'aime lire.</i>"}|dossier-3 les-loisirs dossier-3-leçon-1
le sport|{"faire de l'escalade": "<b>Meaning</b>: to go climbing<br><b>Phrase: </b><i>Il fait de l'escalade.</i>", 'faire de la randonnée': "<b>Meaning</b>: to go hiking<br><b>Phrase: </b><i>J'aime faire de la randonnée.</i>", 'faire du parapente': '<b>Meaning</b>: to go paragliding<br><b>Phrase: </b><i>Il fait du parapente.</i>', 'faire du ski': '<b>Meaning</b>: to ski<br><b>Phrase: </b><i>Je fais du ski.</i>', 'faire du surf': '<b>Meaning</b>: to surf<br><b>Phrase: </b><i>Elle fait du surf.</i>', 'faire du vélo': '<b>Meaning</b>: to ride a bike<br><b>Phrase: </b><i>Je fais du vélo.</i>'}|dossier-3 les-loisirs dossier-3-leçon-1
les jeux et la télévision|{'la téléréalité': '<b>Meaning</b>: reality TV<br><b>Phrase: </b><i>Je regarde la téléréalité.</i>', 'un(e) candidat(e)': '<b>Meaning</b>: a candidate<br><b>Phrase: </b><i>Il est candidat. / Elle est candidate.</i>', 'un(e) finaliste': '<b>Meaning</b>: a finalist<br><b>Phrase: </b><i>Il est finaliste. / Elle est finaliste.</i>'}|dossier-3 les-loisirs dossier-3-leçon-1
les sorties|{'faire la fête': "<b>Meaning</b>: to party<br><b>Phrase: </b><i>J'aime faire la fête.</i>", 'rester en ville': '<b>Meaning</b>: to stay in the city<br><b>Phrase: </b><i>Je reste en ville.</i>', 'sortir (peu ≠ beaucoup)': '<b>Meaning</b>: to go out (little ≠ a lot)<br><b>Phrase: </b><i>Je sors peu. / Je sors beaucoup.</i>'}|dossier-3 les-loisirs dossier-3-leçon-1
les voyages|{'être/partir en vacances': '<b>Meaning</b>: to be/go on vacation<br><b>Phrase: </b><i>Je suis en vacances. / Je pars en vacances.</i>', 'vivre une aventure': "<b>Meaning</b>: to live an adventure<br><b>Phrase: </b><i>J'aime vivre une aventure.</i>", 'voyager': "<b>Meaning</b>: to travel<br><b>Phrase: </b><i>J'aime voyager.</i>"}|dossier-3 les-loisirs dossier-3-leçon-1
un(e) boulanger(ère): faire du pain|<b>Meaning</b>: a baker: to make bread<br><b>Phrase: </b><i>Il est boulanger. / Elle est boulangère. / Il fait du pain.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) chanteur(euse): chanter|<b>Meaning</b>: a singer: to sing<br><b>Phrase: </b><i>Il est chanteur. / Elle est chanteuse. / Elle aime chanter.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) coiffeur(euse): imaginer une coiffure, coiffer|<b>Meaning</b>: a hairdresser: to imagine a hairstyle, to style hair<br><b>Phrase: </b><i>Il est coiffeur. / Elle est coiffeuse. / Elle imagine une coiffure. / Elle coiffe bien.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) couturier(ère): créer des vêtements, habiller|<b>Meaning</b>: a fashion designer: to create clothes, to dress<br><b>Phrase: </b><i>Il est couturier. / Elle est couturière. / Il crée des vêtements. / Elle habille les gens.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) cuisinier(ère): cuisiner, imaginer des recettes, découvrir des spécialités|<b>Meaning</b>: a cook/chef: to cook, to imagine recipes, to discover specialties<br><b>Phrase: </b><i>Il est cuisinier. / Elle est cuisinière. / Il cuisine bien. / Elle imagine des recettes. / Il découvre des spécialités.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) journaliste: faire une interview/un reportage|<b>Meaning</b>: a journalist: to do an interview/a report<br><b>Phrase: </b><i>Il est journaliste. / Elle est journaliste. / Il fait une interview. / Elle fait un reportage.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) opticien(ne): vendre des lunettes|<b>Meaning</b>: an optician: to sell glasses<br><b>Phrase: </b><i>Il est opticien. / Elle est opticienne. / Il vend des lunettes.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) pharmacien(ne): vendre des médicaments, conseiller, aider les personnes malades|<b>Meaning</b>: a pharmacist: to sell medicine, to advise, to help sick people<br><b>Phrase: </b><i>Il est pharmacien. / Elle est pharmacienne. / Il vend des médicaments. / Il conseille les clients. / Il aide les personnes malades.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) photographe: faire des photos, des reportages|<b>Meaning</b>: a photographer: to take photos, to do reports<br><b>Phrase: </b><i>Il est photographe. / Elle est photographe. / Il fait des photos. / Il fait des reportages.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) réalisateur(trice): faire un film, diriger un acteur|<b>Meaning</b>: a director: to make a film, to direct an actor<br><b>Phrase: </b><i>Il est réalisateur. / Elle est réalisatrice. / Il fait un film. / Il dirige un acteur.</i>|dossier-3 les-professions dossier-3-leçon-1
un(e) vétérinaire: soigner un animal (un chat, un chien, un lapin, un cheval, une vache, un mouton)|<b>Meaning</b>: a veterinarian: to treat an animal (a cat, a dog, a rabbit, a horse, a cow, a sheep)<br><b>Phrase: </b><i>Il est vétérinaire. / Elle est vétérinaire. / Il soigne un chat. / Elle soigne un chien. / Il soigne un lapin. / Il soigne un cheval. / Il soigne une vache. / Il soigne un mouton.</i>|dossier-3 les-professions dossier-3-leçon-1
une profession = un métier: travailler|<b>Meaning</b>: a profession = a job: to work<br><b>Phrase: </b><i>Quelle est votre profession? / C'est un beau métier. / J'aime travailler.</i>|dossier-3 les-professions dossier-3-leçon-1
rencontrer des gens|<b>Meaning</b>: to meet people<br><b>Phrase: </b><i>J'aime rencontrer des gens.</i>|dossier-3 les-relations dossier-3-leçon-1
autoritaire|<b>Meaning</b>: authoritarian<br><b>Phrase: </b><i>Il est autoritaire.</i>|dossier-3 caractériser dossier-3-leçon-2
beau/belle|<b>Meaning</b>: handsome/beautiful<br><b>Phrase: </b><i>Il est beau. / Elle est belle.</i>|dossier-3 caractériser dossier-3-leçon-2
calme|<b>Meaning</b>: calm<br><b>Phrase: </b><i>Il est calme.</i>|dossier-3 caractériser dossier-3-leçon-2
compliqué(e)|<b>Meaning</b>: complicated<br><b>Phrase: </b><i>C'est compliqué. / Elle est compliquée.</i>|dossier-3 caractériser dossier-3-leçon-2
créatif(ive)|<b>Meaning</b>: creative<br><b>Phrase: </b><i>Il est créatif. / Elle est créative.</i>|dossier-3 caractériser dossier-3-leçon-2
cultivé(e)|<b>Meaning</b>: cultured/well-read<br><b>Phrase: </b><i>Il est cultivé. / Elle est cultivée.</i>|dossier-3 caractériser dossier-3-leçon-2
décontracté(e)|<b>Meaning</b>: relaxed<br><b>Phrase: </b><i>Il est décontracté. / Elle est décontractée.</i>|dossier-3 caractériser dossier-3-leçon-2
